DATE,ULCMFG
1987-01-01,95.071
1987-04-01,94.007
1987-07-01,93.937
1987-10-01,93.399
1988-01-01,95.475
1988-04-01,96.127
1988-07-01,97.382
1988-10-01,98.148
1989-01-01,98.120
1989-04-01,98.472
1989-07-01,100.061
1989-10-01,100.994
1990-01-01,100.249
1990-04-01,101.503
1990-07-01,101.412
1990-10-01,102.843
1991-01-01,104.219
1991-04-01,104.590
1991-07-01,103.960
1991-10-01,104.351
1992-01-01,104.969
1992-04-01,104.416
1992-07-01,104.077
1992-10-01,105.940
1993-01-01,100.265
1993-04-01,104.000
1993-07-01,104.764
1993-10-01,105.633
1994-01-01,102.079
1994-04-01,102.222
1994-07-01,102.390
1994-10-01,102.069
1995-01-01,100.529
1995-04-01,101.112
1995-07-01,101.555
1995-10-01,101.346
1996-01-01,100.810
1996-04-01,100.427
1996-07-01,99.554
1996-10-01,98.950
1997-01-01,97.654
1997-04-01,97.263
1997-07-01,96.504
1997-10-01,96.834
1998-01-01,96.947
1998-04-01,98.349
1998-07-01,98.561
1998-10-01,97.957
1999-01-01,97.785
1999-04-01,97.382
1999-07-01,98.367
1999-10-01,98.056
2000-01-01,101.209
2000-04-01,99.520
2000-07-01,101.578
2000-10-01,101.062
2001-01-01,102.039
2001-04-01,101.767
2001-07-01,101.510
2001-10-01,100.896
2002-01-01,97.856
2002-04-01,97.046
2002-07-01,95.947
2002-10-01,95.751
2003-01-01,94.706
2003-04-01,95.515
2003-07-01,95.163
2003-10-01,97.036
2004-01-01,95.103
2004-04-01,96.355
2004-07-01,97.975
2004-10-01,96.676
2005-01-01,94.974
2005-04-01,94.867
2005-07-01,95.793
2005-10-01,95.202
2006-01-01,97.099
2006-04-01,96.717
2006-07-01,96.081
2006-10-01,96.780
2007-01-01,97.264
2007-04-01,96.050
2007-07-01,95.296
2007-10-01,95.061
2008-01-01,95.418
2008-04-01,97.396
2008-07-01,100.029
2008-10-01,104.043
2009-01-01,102.820
2009-04-01,103.209
2009-07-01,100.024
2009-10-01,99.443
2010-01-01,96.050
2010-04-01,96.041
2010-07-01,96.316
2010-10-01,97.110
2011-01-01,97.506
2011-04-01,97.678
2011-07-01,97.314
2011-10-01,96.868
2012-01-01,99.195
2012-04-01,99.970
2012-07-01,100.144
2012-10-01,100.692
2013-01-01,99.016
2013-04-01,99.082
2013-07-01,99.579
2013-10-01,99.951
2014-01-01,102.189
2014-04-01,101.514
2014-07-01,102.250
2014-10-01,104.343
2015-01-01,106.122
2015-04-01,106.972
2015-07-01,107.528
2015-10-01,108.128
2016-01-01,107.091
2016-04-01,107.728
2016-07-01,108.033
2016-10-01,108.910
2017-01-01,110.071
2017-04-01,110.765
2017-07-01,112.970
2017-10-01,113.449
2018-01-01,114.151
2018-04-01,112.781
2018-07-01,113.703
2018-10-01,114.381
2019-01-01,115.923
2019-04-01,117.010
2019-07-01,116.596
2019-10-01,118.300
2020-01-01,119.538
2020-04-01,131.009
2020-07-01,126.755
2020-10-01,125.987
