DATE,ICNSA
1967-01-01,302250.000000000000
1967-02-01,261250.000000000000
1967-03-01,251500.000000000000
1967-04-01,239400.000000000000
1967-05-01,189000.000000000000
1967-06-01,179250.000000000000
1967-07-01,272400.000000000000
1967-08-01,194250.000000000000
1967-09-01,158600.000000000000
1967-10-01,177250.000000000000
1967-11-01,203500.000000000000
1967-12-01,269600.000000000000
1968-01-01,316250.000000000000
1968-02-01,244500.000000000000
1968-03-01,185000.000000000000
1968-04-01,183000.000000000000
1968-05-01,162000.000000000000
1968-06-01,153400.000000000000
1968-07-01,240500.000000000000
1968-08-01,180800.000000000000
1968-09-01,140250.000000000000
1968-10-01,151750.000000000000
1968-11-01,184400.000000000000
1968-12-01,258000.000000000000
1969-01-01,282000.000000000000
1969-02-01,229000.000000000000
1969-03-01,179000.000000000000
1969-04-01,169000.000000000000
1969-05-01,144200.000000000000
1969-06-01,156250.000000000000
1969-07-01,251250.000000000000
1969-08-01,179800.000000000000
1969-09-01,144000.000000000000
1969-10-01,163250.000000000000
1969-11-01,205000.000000000000
1969-12-01,280000.000000000000
1970-01-01,353600.000000000000
1970-02-01,289500.000000000000
1970-03-01,249250.000000000000
1970-04-01,297000.000000000000
1970-05-01,250800.000000000000
1970-06-01,242000.000000000000
1970-07-01,340000.000000000000
1970-08-01,257200.000000000000
1970-09-01,237500.000000000000
1970-10-01,278600.000000000000
1970-11-01,331750.000000000000
1970-12-01,388250.000000000000
1971-01-01,429400.000000000000
1971-02-01,320750.000000000000
1971-03-01,275500.000000000000
1971-04-01,262500.000000000000
1971-05-01,237800.000000000000
1971-06-01,243000.000000000000
1971-07-01,334400.000000000000
1971-08-01,281000.000000000000
1971-09-01,238250.000000000000
1971-10-01,248600.000000000000
1971-11-01,290250.000000000000
1971-12-01,347250.000000000000
1972-01-01,390400.000000000000
1972-02-01,297750.000000000000
1972-03-01,248000.000000000000
1972-04-01,233800.000000000000
1972-05-01,217750.000000000000
1972-06-01,222250.000000000000
1972-07-01,324600.000000000000
1972-08-01,218500.000000000000
1972-09-01,190200.000000000000
1972-10-01,211250.000000000000
1972-11-01,249000.000000000000
1972-12-01,314600.000000000000
1973-01-01,337000.000000000000
1973-02-01,255750.000000000000
1973-03-01,214800.000000000000
1973-04-01,215250.000000000000
1973-05-01,197750.000000000000
1973-06-01,200400.000000000000
1973-07-01,275750.000000000000
1973-08-01,224250.000000000000
1973-09-01,184200.000000000000
1973-10-01,206250.000000000000
1973-11-01,251250.000000000000
1973-12-01,374800.000000000000
1974-01-01,456750.000000000000
1974-02-01,372000.000000000000
1974-03-01,296000.000000000000
1974-04-01,264250.000000000000
1974-05-01,244000.000000000000
1974-06-01,256400.000000000000
1974-07-01,339750.000000000000
1974-08-01,289200.000000000000
1974-09-01,271500.000000000000
1974-10-01,341000.000000000000
1974-11-01,463200.000000000000
1974-12-01,705000.000000000000
1975-01-01,807250.000000000000
1975-02-01,641250.000000000000
1975-03-01,521400.000000000000
1975-04-01,471500.000000000000
1975-05-01,402600.000000000000
1975-06-01,425000.000000000000
1975-07-01,482250.000000000000
1975-08-01,388600.000000000000
1975-09-01,337500.000000000000
1975-10-01,363500.000000000000
1975-11-01,397000.000000000000
1975-12-01,494750.000000000000
