DATE,T10YFF
2016-02-01,1.45
2016-03-01,1.53
2016-04-01,1.53
2016-05-01,1.55
2016-06-01,1.19
2016-07-01,1.16
2016-08-01,1.28
2016-09-01,1.31
2016-10-01,1.53
2016-11-01,2.06
2016-12-01,1.90
2017-01-01,1.89
2017-02-01,1.79
2017-03-01,1.58
2017-04-01,1.46
2017-05-01,1.38
2017-06-01,1.25
2017-07-01,1.23
2017-08-01,1.05
2017-09-01,1.27
2017-10-01,1.31
2017-11-01,1.35
2017-12-01,1.07
2018-01-01,1.38
2018-02-01,1.52
2018-03-01,1.06
2018-04-01,1.26
2018-05-01,1.13
2018-06-01,0.94
2018-07-01,1.05
2018-08-01,0.95
2018-09-01,0.87
2018-10-01,0.95
2018-11-01,0.81
2018-12-01,0.29
2019-01-01,0.23
2019-02-01,0.33
2019-03-01,-0.02
2019-04-01,0.06
2019-05-01,-0.26
2019-06-01,-0.4
2019-07-01,-0.38
2019-08-01,-0.63
2019-09-01,-0.22
2019-10-01,0.11
2019-11-01,0.22
2019-12-01,0.37
2020-01-01,-0.08
2020-02-01,-0.45
2020-03-01,0.62
2020-04-01,0.59
2020-05-01,0.6
2020-06-01,0.58
2020-07-01,0.45
2020-08-01,0.63
2020-09-01,0.6
2020-10-01,0.79
2020-11-01,0.75
2020-12-01,0.84
2021-01-01,1.04
2021-02-01,1.37
