,level_0,Symbols,coefs,score,mse
4,LEI,GDX,"[-2.79184640e-03 -6.71582729e+00 -4.72323768e+01 -1.68593701e-04
 -8.84327572e-02  1.16252955e-02  5.91831145e-01  1.92593804e-01
  1.25891100e+01  3.65196917e+01]",0.888942835762529,1.5513200782877292
11,LEI,SPY,"[ 4.18833921e-03  1.44728231e+01  1.84790354e+01 -1.36955917e-03
  8.62004425e-01 -2.84130367e-02  5.21392591e-01  1.96422460e+00
 -5.21774007e+01  5.45369155e+01]",0.5087598411298531,144.1134544070942
7,LEI,XLY,"[ 7.37944434e-03 -1.17953142e+00 -2.84459695e+00 -9.32831956e-04
 -1.37151368e+00 -1.23937487e-02 -6.32587699e-01  5.68824030e-01
 -3.71131918e+01  6.20962750e+01]",0.46984757339824545,24.516200822772788
5,LEI,XLK,"[ 4.39197325e-03  6.94193857e+00 -9.21022956e+00 -7.96451526e-04
  1.57984838e-01  1.41205671e-04  1.95919742e-01  5.08716337e-01
 -6.25502674e+00  1.71083627e+01]",0.30786402947064173,41.641353140828855
2,LEI,XLU,"[-5.63878016e-03  1.72283911e-01  2.41290497e+00  2.94285615e-04
  6.92538683e-01  1.15307118e-02  7.08861870e-02  3.94701801e-01
 -3.26971057e+01 -3.53615848e+01]",0.2258058153523188,13.14033251110557
45,ALL,XLB,"[-2.24390379e-04  8.46217362e-04  2.25903553e-03 -4.75156870e-06
  3.56034010e-02  7.12230180e-04  2.54424233e-02 -5.61332972e-03
 -7.56072874e-04  1.09402133e-03  3.19834366e-08  3.68462912e-03
  1.67674962e-04 -8.02002542e-04  1.89104761e-03 -3.52914113e-05
 -4.54927466e-06  1.72240757e-04  4.92155739e-03  7.70200352e-04
 -7.03040442e-04]",0.14220374178192086,0.0063254191734280815
8,LEI,XLP,"[-6.21977204e-03  8.37842569e-01 -2.28803353e+00 -1.79262200e-05
  2.33988981e-01 -1.02766406e-02  2.75103951e-01  5.71033129e-01
 -1.35196230e+01  2.74084741e-03]",0.13279419891712385,10.376557157767536
3,LEI,XLI,"[-1.34475022e-03  2.37363770e+01  2.86534921e+01 -8.22301146e-05
  4.49911334e-01 -1.77708073e-02  4.11271700e-01  6.98210797e-01
 -1.45197095e+01  2.23621373e+01]",0.12830484409952103,15.823745724485669
1,LEI,XLF,"[-2.78732917e-04  4.82833357e+00  2.56595306e+01 -1.99484820e-05
  2.62723191e-01 -6.69440267e-03  1.98860238e-01  2.40056034e-01
 -6.48019364e+00  1.04537496e+01]",0.05625330605651779,2.454699436068701
0,LEI,XLE,"[ 1.07759045e-02 -4.49271595e+01 -5.14518463e+01  6.87385284e-06
  1.40624995e+00 -4.74205336e-03 -3.69301688e-01 -2.97456151e-01
  5.73345241e+01  5.45030199e+01]",-1.0867664002663813,52.18676216302878
18,CEI,XLV,[ 1.81194674e-04  3.43831489e+00 -7.68793268e-03  1.54642924e-01],-1.1773550473779824,37.87691575991776
10,LEI,XOP,"[ 4.72630006e-02 -2.06818077e+02 -1.73119317e+02  2.43645326e-04
  4.46538538e+00  5.86156248e-03 -1.66052007e+00 -2.16218040e+00
  1.80437791e+02  3.33471728e+01]",-1.8345786003238196,1745.3294073742986
